author,total_comments,n_channels,avg_comments_per_channel,category_entropy,num_unique_categories,cat_Gaming,cat_Entertainment,cat_Music,cat_People & Blogs,cat_Howto & Style,cat_Comedy,cat_Film and Animation,cat_Education,cat_Science & Technology,cat_Sports,mean_log_subs,std_log_subs,mean_join_year,std_join_year,mean_delta_videos,mean_activity,mean_delta_subs,mean_delta_views
10001355,2.0,1.0,2.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.749367480991666,0.0,2011.0,0.0,14.212903225806452,31.27741935483871,117523.8297235023,56299036.252169736
10001356,4.0,2.0,2.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.887673261214733,0.01273674731299862,2016.0,0.0,3.818691242532302,8.380864168943639,7267.5988870401125,449845.527060412
10001357,2.0,1.0,2.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.745581788127712,0.0,2016.0,0.0,0.8251748251748252,1.7902097902097902,48307.90642690643,2730365.184893232
10001359,3.0,2.0,1.5,0.6365141682948128,2.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,12.194042293143266,0.3192220017803683,2017.3333333333333,1.4142135623730951,5.061857513184947,11.20765173862519,2491.7262419054614,108141.43810577327
10001360,2.0,1.0,2.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.712423271412197,0.0,2016.0,0.0,2.0578512396694215,4.669421487603306,2831.244982290437,142239.12396694216
10001361,8.0,4.0,2.0,0.5623351446188083,2.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,15.248495647648028,0.9764126936007548,2009.375,0.8209220690651828,3.687618899917287,8.180686517783291,27387.613878980563,6777922.843116495
10001362,4.0,2.0,2.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.881611780013126,0.6040167122733195,2010.0,4.242640687119285,3.7977047146401985,8.47799834574028,15824.920718900958,6890815.850919704
10001365,2.0,2.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.96201048432044,0.6855716778546257,2012.5,3.5355339059327378,13.776556776556777,30.41025641025641,9733.823908730159,2515051.5087401746
10001366,19.0,5.0,3.8,1.2336841378337722,4.0,0.10526315789473684,0.2631578947368421,0.0,0.15789473684210525,0.0,0.0,0.0,0.47368421052631576,0.0,0.0,13.356774509243747,2.278070933165514,2009.6842105263158,4.377510893877508,3.58946787979046,7.959963792731196,10539.274242728387,3777687.111590676
10001367,2.0,1.0,2.0,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3876050366596,0.0,2016.0,0.0,1.1700680272108843,2.510204081632653,4506.825175449253,248057.98358681356
10001368,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53212287826962,0.0,2015.0,0.0,0.03614457831325301,0.0963855421686747,224.88014906849617,95829.44905016893
10001369,2.0,2.0,1.0,0.6931471805599453,2.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,15.098267649729019,2.106940185858565,2009.5,4.949747468305833,0.9038847698486253,2.0560318195860363,44969.56984876319,6205074.522129738
10001371,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.455306945297822,0.0,2008.0,0.0,1.0484848484848486,2.2545454545454544,209.22153679653675,31916.091653138523
10001372,53.0,20.0,2.65,0.6537259011710681,4.0,0.8113207547169812,0.11320754716981132,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.05660377358490566,12.471668386910823,1.9329287942457563,2014.4716981132076,2.201603693567353,3.1370709864975144,7.001600075073531,5347.0318009055745,1142527.7178143074
