author,total_comments
10033801,269
10003733,269
10105536,269
10128032,268
10010215,268
1009078,268
10135297,268
10074879,268
10139460,267
10113513,267
10109489,267
10113397,267
1004340,267
10121145,267
10105749,267
10096787,267
10118260,267
10034986,267
10116225,267
10134756,266
10080924,266
10013354,266
10138590,266
10097907,266
10062936,265
10062931,265
10111026,265
10015977,265
10064633,265
10141250,265
10039400,265
10147739,265
10125595,265
10140945,265
10108047,265
10135234,264
10102963,264
10061712,264
10103342,264
10093437,264
10071689,264
10069108,263
10078088,263
10148706,263
10130386,263
10062792,263
10035493,263
10067213,263
10015404,263
10069348,263
10050896,263
10031153,263
10117634,262
10070004,262
10022380,262
10070041,262
10023364,262
10100480,262
10042909,262
10109109,261
1001615,261
10141029,261
1003132,261
10113768,261
10129905,261
1011499,261
10034996,261
10127589,260
10075630,260
10144715,260
10138460,260
10047670,260
10004703,260
10127977,260
10145794,260
10040348,260
101150,260
10126602,260
10048927,259
1009807,259
10088759,259
1000957,259
10025133,258
10070527,258
10132181,258
10129097,258
10048896,258
10031270,258
10022070,258
1009285,258
10079437,258
10127997,257
10105874,257
10147771,257
10138359,257
10124766,256
10079025,256
10074195,256
10003994,255
10146501,255
10081646,255
1013547,255
10053932,255
10051396,255
10025583,255
10140128,255
10025535,255
1008617,255
1000705,255
10095838,255
10044233,255
10007996,254
10074143,254
1009763,254
10005684,254
10106361,254
10001055,254
10050917,254
10037279,254
10091530,254
10006918,254
1002408,254
10063743,253
1009727,253
10139367,253
10099040,253
10001983,253
10078718,253
10022412,253
10065114,253
10096053,253
10043288,253
10130887,252
10052686,252
10023803,252
10100936,252
1004716,252
10074064,252
10061639,252
10069717,252
10077778,251
10077437,251
10093241,251
10125257,251
10139966,251
100590,251
10121643,251
10108198,250
10017796,250
10053474,250
10039088,250
10049692,250
10135574,250
10088980,250
10078592,250
10049269,249
10070341,249
10081195,249
10057469,249
10000039,249
10120316,249
10125812,249
10104341,249
1005789,249
10061483,249
10119739,249
10049725,249
1010473,249
10041878,249
10031051,249
10005732,249
10075691,249
10000561,248
10090017,248
10061456,248
10042304,248
10121316,248
10036179,248
10059849,248
10019767,247
10019085,247
10090916,247
10126382,247
10051648,247
10015487,247
10108489,247
10121068,246
10079067,246
10018431,246
10067699,246
1005232,246
10053509,245
10049118,245
10003977,245
10082866,245
10137367,245
10005932,245
10132083,245
10086106,245
10130197,244
10137181,244
10129886,244
10103964,244
10112586,244
10013189,244
10128814,244
10036214,244
10030418,244
10044354,243
10085588,243
10143662,243
10006488,243
1001716,242
10122458,242
10088064,242
10075367,242
10009801,242
1003777,242
10051246,242
1001340,242
10005904,242
10145608,241
10127676,240
10092193,240
1006026,240
10129086,240
1014862,240
10023423,240
10073814,240
10076540,240
10029148,239
10022455,239
10055676,239
10112222,239
10091503,239
10027070,239
10103502,239
10079630,239
10021396,239
10148497,239
1007629,238
10012450,238
10005198,238
10108297,238
10063887,238
10084317,238
10081860,238
10003186,238
10043363,238
10041868,238
10024583,238
10077480,238
10125673,238
10125711,237
10105380,237
10051676,237
10138572,237
10044670,237
10075777,237
10111461,237
10138282,237
10061158,237
10136386,237
10124980,236
10022868,236
1002872,236
10015751,236
10147137,236
10145373,236
10024820,235
10015783,235
10147706,235
10132309,235
10146996,235
1009051,235
101302,235
10106645,235
10140005,235
10039213,235
10036022,235
10134007,234
10120392,234
1010800,234
10032608,234
10056106,234
10120961,234
10059285,234
10120897,234
10104431,234
1001905,233
10120001,233
10096876,233
10139408,233
10030958,233
10136602,233
10064495,232
10016799,232
10144292,232
1014167,232
10106739,232
10120003,232
10012314,232
10087399,232
10066782,232
10105062,232
10086903,232
10026259,232
10065407,232
10031542,231
10075971,231
10007544,231
10138788,231
10121703,231
10084231,231
10103804,231
10127478,231
10008644,231
10011925,231
10065968,230
10069397,230
10005625,230
1001536,230
10102625,230
10043415,230
10113567,230
10082675,230
10135945,229
10141353,229
10072329,229
10083073,229
10011358,229
10003842,229
10102986,229
10127092,229
10035846,229
10078333,229
10007626,228
10115313,228
10076884,228
10078462,228
1003683,228
10030993,228
10127272,228
1002729,228
10046058,228
10118512,228
1013475,227
10003290,227
10145490,227
10005969,227
10137541,227
10016535,227
1003070,227
10137329,227
10141924,227
10038500,226
10075287,226
10110763,226
10082061,226
10092253,226
10011901,226
10058086,226
10042830,226
10082428,226
10013339,225
10142240,225
10035892,225
10132555,225
10022904,225
10097580,225
10119523,225
10095078,224
10012456,224
10054704,224
10050891,224
10099840,224
10016324,224
10142505,224
10015240,224
10036211,224
10112332,223
10123419,223
10148106,223
10130323,223
10050256,223
10011154,223
10145539,223
10068568,223
10025325,222
